no,teks,sosmed,labels
1,@impenyu Kamu kayak genZ aja belom kerja udah nanya gaji,x,Negatif
2,ko ada ya rekan kerja bawahku genz jg diminta pelajari sistem internal perusahaan blgnya gak ah takut double job desc . pdhl itu emg sistem dibuat utk all user. gue genz tp ga setolol itu buat reject improve yg ada. hadeh berat wes,x,Negatif
3,GenZ kenapa deh Nih ade w benalu bet anying Disuruh kerja bnyk alesan ny Mood kasih kerjaan d site gmw kata ny Homesick Mau ny d kota D kota gamau yg jauh sakit pinggang ceunah Di kasi di mall gamau INTROVERT katany Si ajg dipikir introvert mu itu bisa kasi km makan kh babi,x,Negatif
4, @GabRey99 halah ngeles. u doang kali. yg kerja maen game hp mimpi akan jadi kayak kayak yutuber. disuruh cari kerja maunya yg dikantor ACan tp skill janitor. sy bnyk kenal genZ kerja mandiri keren mampos. pilihan nona manis. pilihan. dah m,x,Negatif
5,@ssandeokie genz percaya bahwa rejeki akan allah berikan ya tapi kocak diberikannya melalui kerja keras sambil yaallah yaallah juga,x,Negatif
6,absen guys yang ngkk abiez sama konten bertema gen z apalagi apk sarang monyet genz kalo kerja sumpah gw ralate bgt sm ketidak efisienan yg mereka blg kaya ini gw bgt ga sie. nih denger ye anak kontol lu itu galucu anjink stop bawa genz itu lu doang kntl ogah gua samaan sm lu,x,Negatif
7,GenZ : bisa kerja ga bisa interview https://t.co/7nMfzBxCKN,x,Negatif
8,Ada yang nanya gimana cara ngadepin genz ga bisa kerja hari libur ga bales chat dsb langsung diulti sama pemateri nya Ya berarti salah pas rekrutmen nya Awkowkwowko mamam,x,Negatif
9,️ genZ mah gak bisa kerja Meanwhile : https://t.co/ijx1kLBIfO,x,Negatif
10,Boss gue pas rapat pernah bilang Itu genZ gamau saya nerima mereka. Masa pas udah mau deal sama HRD dia milih liburan dibanding kerja. (di perusahaannya) blio lupa kali saya GenZ. Dlm hati gue ya bodoamat? Lu juga butuh tenaga gue.,x,Negatif
11,@BundaGokil_1205 @hinata_hyugaa10 Setuju sih saya sama pendapat kakanya pantes banyak yg mengeluh kan mental genZ didunia kerja' mentalnya kurang strong beda sama anak 80-90 an. Karena didikan disekolah juga beda ga sekeras dulu,x,Positif
12,@jwonwjhui genZ: bisa kerja apapun tpi gamaw interview ,x,Negatif
13,@worksfess Kebiasaan kerja aja belum ud mikirin resign. Nyari kerja aja susah pantes banyak genZ nganggur. Lu kerja di manapun pressure akan selalu ada. Jangan takut sama pressure jangan dikit2 OVT suudzon pen resign. Mending lu tidur aja di kamar klo pik,x,Negatif
14,Genz bisa kerja gabisa interview is real sorry membuang waktu anda sekalian.. beneran saatnya ngurus warung lele bapakku ,x,Positif
15,@griinteaa @beingrichauntie @oneflowerless Karena...... GenZ isi kepala e mikirin cowok² e pada sibuk kerja wkwkwkwk,x,Negatif
16,Lu kerja di kelilingin sama genZ dan skrg lu dah resign dari project itu. Then genZ ini masi nanya2 lu how to ... Eumm lebih ke kasian sih kayak genZ itu kalau gak di arahin gabisa kerja sendiri Ya gak semuaaa tapi mostly genZ yg kerja bareng aku kek begitu :),x,Negatif
17,Yang ditakutin genz cuma wawancara kerja,x,Negatif
18,@kdrama_menfess pesona genz males kerja,x,Negatif
19,Gue gatau si sender nanya beneran apa gimana tapi di tempat kerja gue beneran ada genZ yg gatau apa itu PNS gatau 1 abad itu berapa tahun. Kek hah??,x,Negatif
20,genz yg udh nikah di 20an rata udh pada kerja dari umur belasan Selama hidup w udh ngpain ajaaa yaaakkk ANJING,x,Negatif
21,plot nya beda sih resident beneran kek genz yg gamau kerja kurang peka dan banyak tanya penasaran apakah ep1 kemarin bikin yi young makin rajin apa sama aja ,x,Negatif
22,Capek banget ngadepin genZ tantrum terusss taik kesel banget punya adek modelan gini. Taik keselllll,x,Negatif
23,Stress dikit tadi gw interview gw ngerasa udh ngasih secukupnya tapi tdi tmn gw ngasih beberapa poin penting tapi ternyata malah kayaknya jawaban gw agak kureng. Gw rasa frasa genz ga bisa interview tapi bisa kerja itu adalah gw(?),x,Negatif
24,@kegblgnunfaedh Mo marah tp genZ y asu dahlah... Sama2 paham aja umur dah dewasa ongkos jajan kuota masih minta sm ortu atau abangnya bukan nyari sendiri... Plus nagih uang wisuda... Lulus kuliah gak dapet kerja.. Pemerintah yg di salahin...,x,Negatif
25,Emg yh kerja ma genz tuh susah - dari aq yg genz jg ,x,Negatif
26,@sluibt emang beda cara kerja genz,x,Negatif
27,@hasseltille For real baru ini se-circle sama genz 2000an ternyata seseru itu. Kemarin-kemarin kerja di yang lingkungannya 30+ semua datar banget hari harinya.,x,Positif
28,@lillypilLysz @nxtmosphere Betul kerjaan anak genZ bgtu skrng kerja cepat cuan and effortless,x,Negatif
29,Memang genz ini banyak ngeluh yah. Padahal cukup diam gk usah semua dibahas Masalah ngasih thr kedikitan dibahas Masalah mudik buang buang uang dibahas Masalah ditanya tanya hal hal sensitif pas kumpul dibahas Cukup mending masuk kamar tidur. 2 hari lagi masuk kerja sattt,x,Negatif
30,yang bilang genz kalo kerja males-malesan lah ini saya yang udah kerja tetep sambil cari kerja kurang semangat apa coba https://t.co/o7WNkiIJCu,x,Positif
31,gua bingung ngomong sama anak genz ditempat kerja gua pake cara apa agak keras nanti dibilang ga soft spoken. padahal dalam kerja ga ada yg namanya soft spoken.,x,Negatif
32,pengen resignnnnnn tp gamau jd job seeker huhu. persoalan genz bs kerja tp males interview emg rilll‍,x,Negatif
33,@convomf Jangankan yg milenial. Yang genZ aja gada yg bahas disekitar ku (mungkin ada tapi yg di sekeliling ku g ada). Rata2 mereka mikirnya apapun yg terjadi kita tetep harus kerja . Jd ini mau ngobrol sm siapa jg ga semua ngerti knp dan apa dampaknya ku,x,Negatif
34,@KreakSemarang sekuat ini ya genz kerja kerja mulu,x,Positif
35,gue gak masalah dia pede dgn kehidupan seksnya (dan gue liat juga bagus² aja krn consent dua²nya) tapi dia yg harusnya ngewakilin genz di dpr. malah gak kerja banyak pencitraan gak ada pembahasan dia yg memihak/membela rakyat genz mana dia makan duit pake duit anak² genz lagi,x,Negatif
36,Ternyata orang yg mengeluh genz gk bisa kerja itu gue Gue barusan ngalamin sendiri,x,Negatif
37,@jejeleejeno @vvqyu Samaaa. Dulu pernah dirujak juga gara-gara mojokin genZ yang 'gak bisa kerja'. Orang tolol emang.,x,Negatif
38,Dosen gue sampai bilang saya tidak membenarkan tapi saya sangat mengerti di genz sekarang populer dengan child free jangankan mengecek harga rumah termurah mengecek suasana lowongan kerja aja udah cukup alasan mundur punya anak .,x,Negatif
39,Nyari pegawai genz mintanya gaji tinggi tp skill zonk. Nyari pegawai boomer hobinya maling Pdhal kerja ga dikasih tuntutan apa2 loh Yg muda maunya instan yg tua stuck disitu2 aja Capek,x,Negatif
40,Bukan karna mereka berani bersuara. Dari dulu udah banyak pekerja yg bersuara. Noh buktinya Dem bukan hanya ada di masa genz. Tapi lebih ke munafik aja. Lu benci kerja disono tapi lu masih stay disono. Apa coba namanya.?,x,Negatif
41,mavie: ngonten danu: karaoke ini pasangan genz work-life balance banget dah. mavie yang kerja gw yang menyemangati pake lagu cinta ^ contoh nyata tiktoker jayus ketemu pengamen karaoke viral di perempatan cisauk.,x,Positif
42,@JukiHoki HIDUP GEN Z! aku sebagai milenial percaya ketika genz sudah menduduki posisi C-Level lingkungan kerja akan jadi lebih baik.,x,Positif
43,@JukiHoki Sekali lagi saya selalu appreciate dengan kinerja temen temen genZ di sekitar saya Kualitas kerja baik dan tepat waktu ,x,Positif
44,@Giseltle Sabar yaaa Kakak kalo kata pepatah orang sabar nanti disayang sama pacarnya deh. Aku mau liburan dulu kalo kerja terus takut stress. #genz ,x,Negatif
45,Tipikal kerja sama genz Dari kemarin² dipancing gak keluar idenya dan slowrespon Udah H-1 gini wadaaww idenya brilian semua mereka tapi waktu mepet tetep aja gak maksimal ,x,Negatif
46,Genz adalah generasi ter orgil di jazzz sana sini cari kerja susah sekali dapet kerja dapet upah ga layak ,x,Negatif
47,@futomodaisuke pacarku kerja di perusahaan korea terus karna dia translator tiap pindah perusahaan pasti aja cerita kalo atasannya suka tempramen ga jelas iya emang ga semua dan ada beberapa tapi yang tempramen emang rata rata boomer sama milenial kalo ge,x,Negatif
48,@miqnies ya inilah genz .. temen2 HRD perusahaan pada ngeluh sama genz nggk mau kerja.. sampai buka lowongan buat ijasah SD.,x,Negatif
49,Kayaknya aku salah satu anak genz yg milih kerja itu Kerja sesuai mood https://t.co/pAv7efzG8d,x,Negatif
50,Icon buruh icon genz perempuan melawan blabla ngomong sama kontoolll. I just see bocah ngga punya etika gapunya malu gapunya etos kerja.,x,Negatif
51,Abis ke acara fashion yg dateng anak genZ sama gen Alpha yawlooo tolong cakep2 amat mana muda2... kalo gini gw mesti perawatan lagi diet lagi dan tentu saja dandan cantik tross. Pdhl dresscode w bagus2&amp,x,Positif
52,gw abis marahin genZ kelahiran tahun 2006. dia gak masuk kerja dengan alasan abis breakup sama ceweknya kek hahhhh!! ngelawak kata gw lu teh!,x,Negatif
53,monyettt monyet genz udah sekolah kena covid skrg presidennya wowo bangsat gimana ntar gw nyari kerja...takut bgt,x,Negatif
54,Idk ya sekarang baper sendiri = misstreatment emang paling bener kalo kerja tuh gak usah bawa perasaan tapi bener sih kata temen2 gua mental milenial sama genz aja udah beda kalo milenial tuh jago bermuka dua mental digebuk nangis sama misuhnya dibelakang kalo genz lu ngomong,x,Negatif
55,Pengalaman kerja bareng genz: Nggak nyatet langkah2 yang udah diajarkan. Ngak bikin daftar ceklis kerjaan. Gak aware sama inbox (gak mau baca gak kau ngikutin history email). Gak ada keinginan untuk nyemplung lebih dalam,x,Negatif
56,Gen z gada etos kerja Genz males gen z lemah. Gen z ni pak gaji bulan feb udah habis di awal maret buat beli keperluan lebaran aja gak tergiur nilep duit orang. Padahal yang tersisa hanya iman dan taqwa,x,Negatif
57,@turybo Kocak banget genz kerja,x,Negatif
58,kerja sama genZ ini memang quite challenging ya,x,Positif
59,@alztxh Pov: genz kerja telat dengan beribu alesan,x,Negatif
60,susah bener kerja bareng late genz isinya jedag jedug kalo ga velocity semua cok,x,Negatif
61,@suryatjia @f_sailendra @tanyakanrl No 2 ngga relate ah lu galiat itu para genZ rela kerja di coffeshop yang gaji di bawah umr demi di bilang kalcer,x,Negatif
62,Kerja bareng boomer pada gaptek Kerja bareng genz pada slowres Hadeh,x,Negatif
63,gue kerja di tempat baru kebanyakan isinya gen Z yg baru pada lulus wkwkwk mau di suruh gue ttp ngelakuin ko walupun di situ umur gue lebih tua dri mereka tapi gue gk se songong genZ yg baru pd masuk kerja dan jadi junior,x,Negatif
64,lucu bgt ada orang ngomel2 genz ganiat kerja padahal dia yang salah. dia sendiri jg genz,x,Negatif
65,Sedang memerangi opini ortu soal cara kerja genz dari pandangan orang lama wkwkwk yg apa apa dipandang yah namanya belajar gausah dibayar gpp. Yah namanya cari pengalaman things karena semua kerja keras itu patut utk diapresiasi dan dihargai bukan cm ucapan terimakasih ,x,Positif
66,Kenapa ya milenial tolol tolol kalo soal financial plan? Kek dijaman lu gampang cari kerja. Giliran genz gamau ngasih utang dibilang pelit,x,Negatif
67,@enoliska_ Klo sama genz meski kadang ada konflik tp kita kerja ya gaes wkwkwkkw jd nyaman aja ama genz nah ama boomer ini nih jeleknya klo dah ketemu yg gaptep astagaaaaaaaa,x,Positif
68,@SatuHikun huhuu sama aku bukan genz karena udh kepala 3 lbh susah buat cari kerja lg kerja disini di suruh2 mulu di salah2in mulu toxic bgt lingkungan kerjanya cuma aku butuh walau di bwah umr pdhl aku di jkt stiap hari brgkt kerja ngebatin mulu ovt mulu,x,Negatif
69,Pusing kerja ama genZ,x,Negatif
70,@gasteroes tp paling ujung2nya diblg genZ byk ngeluh gabisa kerja byk bacod,x,Negatif
71,Iya ya kapan indo ini bener bener sehat . Menurut gue genz bukan susah nyari kerja tapi mereka ngefilter dari perusahaan toxic. Job banyak bgt tapi perusahaan nya sendiri redflag mampus. Kerja senin-sabtu balik 7 malem dan belum lembur trs gaji under umr apa ga tepar,x,Positif
72,dapet anak genz yang mau kelar kontraknya terus langsung ga kerja lagi ilang2an buat interview kzl sih tp yaudahlah anggep aja ga ada..goks yah anak jaman skrg ga ada gitu rasa ga enaknya dan bisa seenaknya. udah males sebenernya aing teh..,x,Negatif
73,@convomf emg intern rata rata bgitu endingnya disalahin dibawa bawa trending GenZ gabisa kerja+manja,x,Negatif
74,Belom lama lu bilang WLB sekarang telat mulu masuk kerja. Mana kalo masuk cemberut ae lu yang telat lu yg emosi wkwkwk kocak genz,x,Negatif
